Element Name,Windows NT,Windows,Component,Component Version,Declaration Header,Include Header,Library,GUID,GUID Macro,Unicode,Element Type
SecPkgContext_KeyInfo,Windows NT 4.0 SP4 or later,Windows 95 or later,SSP,,Sspi.h,Security.h,,,,Declared as Unicode and ANSI structures.,structure
SecPkgContext_ProtoInfo,Windows NT 4.0 SP4 or later,Windows Me,SSP,,Schannel.h,Schnlsp.h,,,,,structure
SecPkgCred_CipherStrengths,Windows NT 4.0 SP4 or later,Windows 95 or later,SSP,,Schannel.h,Schnlsp.h,,,,,structure
SecPkgCred_SupportedAlgs,Windows NT 4.0 SP4 or later,Windows 95 or later,SSP,,Schannel.h,Schnlsp.h,,,,,structure
SecPkgCred_SupportedProtocols,Windows NT 4.0 SP4 or later,Windows 95 or later,SSP,,Schannel.h,Schnlsp.h,,,,,structure
SecurityUserData,Whistler,,SSP,,Ntsecpkg.h,,,,,,structure
AcceptSecurityContext,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,Secur32.lib,,,,function
AcquireCredentialsHandle,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,Secur32.lib,,,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
ApplyControlToken,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,Secur32.lib,,,,function
CompleteAuthToken,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,Secur32.lib,,,,function
DecryptMessage,Windows 2000 or later,Unsupported,SSPI,,Sspi.h,Security.h,Secur32.lib,,,,function
DeleteSecurityContext,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,Secur32.lib,,,,function
EncryptMessage,Windows 2000 or later,Unsupported,SSPI,,Sspi.h,Security.h,Secur32.lib,,,,function
EnumerateSecurityPackages,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,Secur32.lib,,,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
ExportSecurityContext,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,Secur32.lib,,,,function
FreeContextBuffer,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,Secur32.lib,,,,function
FreeCredentialsHandle,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,Secur32.lib,,,,function
ImpersonateSecurityContext,Windows NT 3.51 or later,Unsupported,SSPI,,Sspi.h,Security.h,Secur32.lib,,,,function
ImportSecurityContext,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,Secur32.lib,,,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
InitializeSecurityContext,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,Secur32.lib,,,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
InitSecurityInterface,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,Secur32.lib,,,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
MakeSignature,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,Secur32.lib,,,,function
QueryContextAttributes,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,Secur32.lib,,,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
QueryCredentialsAttributes,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,Secur32.lib,,,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
QuerySecurityContextToken,Windows 2000 or later,Unsupported,SSPI,,Sspi.h,Security.h,Secur32.lib,,,,function
QuerySecurityPackageInfo,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,Secur32.lib,,,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
RevertSecurityContext,Windows NT 3.51 or later,Unsupported,SSPI,,Sspi.h,Security.h,Secur32.lib,,,,function
VerifySignature,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,Secur32.lib,,,,function
SEC_WINNT_AUTH_IDENTITY,Windows NT 3.1 or later,Windows 95 or later,SSPI,,Rpcdce.h,,,,,,structure
SEC_WINNT_AUTH_IDENTITY_EX,Windows 2000 or later,Unsupported,SSPI,,Sspi.h,Security.h,,,,,structure
SecBuffer,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,,,,,structure
SecBufferDesc,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,,,,,structure
SecPkgContext_DceInfo,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,,,,,structure
SecPkgContext_Lifespan,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,,,,,structure
SecPkgContext_Names,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,,,,Declared as Unicode and ANSI structures.,structure
SecPkgContext_NegotiationInfo,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,,,,Declared as Unicode and ANSI structures.,structure
SecPkgContext_PackageInfo,Windows 2000 or later,Unsupported,SSPI,,Sspi.h,Security.h,,,,,structure
SecPkgContext_Sizes,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,,,,,structure
SecPkgContext_StreamSizes,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,,,,,structure
SecPkgCredentials_Names,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,,,,Declared as Unicode and ANSI structures.,structure
SecPkgInfo,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,,,,Declared as Unicode and ANSI structures.,structure
SECURITY_INTEGER,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,,,,,structure
SecurityFunctionTable,Windows NT 3.51 or later,Windows 95 or later,SSPI,,Sspi.h,Security.h,,,,Declared as Unicode and ANSI structures.,structure
LOCKTYPE,Windows NT 3.1 or later,Windows 95 or later,STG,,Objidl.idl,,,,,,enumeration
PROPSETFLAG,Windows NT 4.0 SP2 or later,Windows 95 or later. Available as a redistributable for Windows 95.,STG,,Propidl.h,,,,,,enumeration
STATFLAG,Windows NT 3.1 or later,Windows 95 or later,STG,,Wtypes.idl,,,,,,enumeration
STGC,Windows NT 3.1 or later,Windows 95 or later,STG,,Wtypes.idl,,,,,,enumeration
STGFMT,Windows 2000 or later,Unsupported,STG,,Objidl.idl,,,,,,enumeration
STGM,Windows NT 3.1 or later,Windows 95 or later,STG,,Objbase.h,,,,,,enumeration
STGMOVE,Windows NT 3.1 or later,Windows 95 or later,STG,,Wtypes.idl,,,,,,enumeration
STGTY,Windows NT 3.1 or later,Windows 95 or later,STG,,Objidl.idl,,,,,,enumeration
STREAM_SEEK,Windows NT 3.1 or later,Windows 95 or later,STG,,Objidl.idl,,,,,,enumeration
CreateILockBytesOnHGlobal,Windows NT 3.1 or later,Windows 95 or later,STG,,Ole2.h,,Ole32.dll,,,,function
CreateStreamOnHGlobal,Windows NT 3.1 or later,Windows 95 or later,STG,,Ole2.h,,Ole32.dll,,,,function
FmtIdToPropStgName,Windows NT 4.0 SP2 or later,Windows 95 or later. Available as a redistributable for Windows 95.,STG,,Propidl.h,,Ole32.lib,,,,function
FreePropVariantArray,Windows NT 4.0 SP2 or later,Windows 95 or later. Available as a redistributable for Windows 95.,STG,,Propidl.h,,Ole32.lib,,,,function
GetConvertStg,Windows NT 3.1 or later,Windows 95 or later,STG,,Ole2.h,,Ole32.dll,,,,function
GetHGlobalFromILockBytes,Windows NT 3.1 or later,Windows 95 or later,STG,,Ole2.h,,Ole32.dll,,,,function
GetHGlobalFromStream,Windows NT 3.1 or later,Windows 95 or later,STG,,Ole2.h,,Ole32.dll,,,,function
OleConvertIStorageToOLESTREAM,Windows NT 3.1 or later,Windows 95 or later,STG,,Ole2.h,,Ole32.dll,,,,function
OleConvertIStorageToOLESTREAMEx,Windows NT 3.1 or later,Windows 95 or later,STG,,Ole2.h,,Ole32.dll,,,,function
OleConvertOLESTREAMToIStorage,Windows NT 3.1 or later,Windows 95 or later,STG,,Ole2.h,,Ole32.dll,,,,function
OleConvertOLESTREAMToIStorageEx,Windows NT 3.1 or later,Windows 95 or later,STG,,Ole2.h,,Ole32.dll,,,,function
PropStgNameToFmtId,Windows NT 4.0 SP2 or later,Windows 95 or later. Available as a redistributable for Windows 95.,STG,,Propidl.h,,Ole32.lib,,,,function
PropVariantClear,Windows NT 4.0 SP2 or later,Windows 95 or later. Available as a redistributable for Windows 95.,STG,,Propidl.h,,Ole32.lib,,,,function
PropVariantCopy,Windows NT 4.0 SP2 or later,Windows 95 or later. Available as a redistributable for Windows 95.,STG,,Propidl.h,,Ole32.lib,,,,function
ReadClassStg,Windows NT 3.1 or later,Windows 95 or later,STG,,Ole2.h,,Ole32.dll,,,,function
ReadClassStm,Windows NT 3.1 or later,Windows 95 or later,STG,,Ole2.h,,Ole32.dll,,,,function
ReadFmtUserTypeStg,Windows NT 3.1 or later,Windows 95 or later,STG,,Ole2.h,,Ole32.dll,,,,function
SetConvertStg,Windows NT 3.1 or later,Windows 95 or later,STG,,Ole2.h,,Ole32.dll,,,,function
StgCreateDocfile,Windows NT 3.1 or later,Windows 95 or later,STG,,Objbase.h,,Ole32.dll,,,,function
StgCreateDocfileOnILockBytes,Windows NT 3.1 or later,Windows 95 or later,STG,,Objbase.h,,Ole32.dll,,,,function
StgCreatePropSetStg,Windows NT 4.0 SP2 or later,Windows 95 or later. Available as a redistributable for Windows 95.,STG,,Objbase.h,,Ole32.lib,,,,function
StgCreatePropStg,Windows NT 4.0 SP2 or later,Windows 95 or later. Available as a redistributable for Windows 95.,STG,,Propidl.h,,Ole32.lib,,,,function
StgCreateStorageEx,Windows 2000 or later,Unsupported,STG,,Objbase.h,,Ole32.lib,,,,function
StgGetIFillLockBytesOnFile,Windows NT 4.0 or later,Windows 95 or later,STG,,Objbase.h,,Ole32.dll,,,,function
StgGetIFillLockBytesOnILockBytes,Windows NT 4.0 or later,Windows 95 or later,STG,,Objbase.h,,Ole32.dll,,,,function
StgIsStorageFile,Windows NT 3.1 or later,Windows 95 or later,STG,,Objbase.h,,Ole32.dll,,,,function
StgIsStorageILockBytes,Windows NT 3.1 or later,Windows 95 or later,STG,,Objbase.h,,Ole32.dll,,,,function
StgOpenAsyncDocfileOnIFillLockBytes,Windows NT 4.0 or later,Windows 95 or later,STG,,Objbase.h,,Ole32.dll,,,,function
StgOpenLayoutDocfile,Windows NT 4.0 or later,Windows 95 or later,STG,,Objbase.h,,Ole32.dll,,,,function
StgOpenPropStg,Windows NT 4.0 SP2 or later,Windows 95 or later. Available as a redistributable for Windows 95.,STG,,Propidl.h,,Ole32.lib,,,,function
StgOpenStorage,Windows NT 3.1 or later,Windows 95 or later,STG,,Objbase.h,,Ole32.lib,,,,function
StgOpenStorageEx,Windows 2000 or later,Unsupported,STG,,Objbase.h,,Ole32.lib,,,,function
StgOpenStorageOnILockBytes,Windows NT 3.1 or later,Windows 95 or later,STG,,Objbase.h,,Ole32.lib,,,,function
StgSetTimes,Windows NT 3.1 or later,Windows 95 or later,STG,,Objbase.h,,Ole32.dll,,,,function
WriteClassStg,Windows NT 3.1 or later,Windows 95 or later,STG,,Ole2.h,,Ole32.dll,,,,function
WriteClassStm,Windows NT 3.1 or later,Windows 95 or later,STG,,Ole2.h,,Ole32.dll,,,,function
WriteFmtUserTypeStg,Windows NT 3.1 or later,Windows 95 or later,STG,,Ole2.h,,Ole32.dll,,,,function
IDirectWriterLock,Windows 2000 or later,Unsupported,STG,,Objidl.idl,,,,,,interface
IEnumSTATPROPSETSTG,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,STG,,Propidl.h,,,,,,interface
IEnumSTATPROPSTG,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,STG,,Propidl.h,,,,,,interface
IEnumSTATSTG,Windows NT 3.1 or later,Windows 95 or later,STG,,Objidl.idl,,,,,,interface
IFillLockBytes,Windows NT 4.0 or later,Windows 95 or later,STG,,Objidl.idl,,,,,,interface
ILayoutStorage,Windows NT 4.0 or later,Windows 95 or later,STG,,Objidl.h,,,,,,interface
ILockBytes,Windows NT 3.1 or later,Windows 95 or later,STG,,Objidl.h,,,,,,interface
IPropertySetStorage,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,STG,,Objbase.h,,,,,,interface
IPropertyStorage,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,STG,,Objbase.h,,,,,,interface
IRootStorage,Windows NT 3.1 or later,Windows 95 or later,STG,,Objidl.idl,,,,,,interface
ISequentialStream,Windows NT 4.0 or later,Windows 95 or later,STG,,Objidl.idl,,,,,,interface
IStorage,Windows NT 3.1 or later,Windows 95 or later,STG,,Objidl.idl,,,,,,interface
IStream,Windows NT 3.1 or later,Windows 95 or later,STG,,Objidl.idl,,,,,,interface
PropVariantInit,Windows NT 4.0 SP2 or later,Windows 95 or later. Available as a redistributable for Windows 95.,STG,,Objbase.h,,,,,,macro
PROPSPEC,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,STG,,Propidl.h,,,,,,structure
PROPVARIANT,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,STG,,Objbase.h,,,,,,structure
RemSNB,Windows NT 3.1 or later,Windows 95 or later,STG,,Objidl.idl,,,,,,structure
SNB,Windows NT 3.1 or later,Windows 95 or later,STG,,Objidl.idl,,,,,,structure
STATPROPSETSTG,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,STG,,Propidl.h,,,,,,structure
STATPROPSTG,Windows NT 4.0 or later,Windows 95 or later. Available as a redistributable for Windows 95.,STG,,Propidl.h,,,,,,structure
STATSTG,Windows NT 3.1 or later,Windows 95 or later,STG,,Objidl.idl,,,,,,structure
STGOPTIONS,Windows 2000 or later,Unsupported,STG,,Objbase.h,,,,,,structure
StorageLayout,Windows NT 4.0 or later,Windows 95 or later,STG,,Objidl.idl,,,,,,structure
StiCreateInstance,Windows 2000 or later,Windows 98 or later,STI,,Sti.h,,Sti.dll,,,,function
IStillImage,Windows 2000 or later,Windows 98 or later,STI,,Sti.h,,Sti.dll,,,,interface
SYNCMGRFLAG,Windows 2000 or later (or Windows NT 4.0 with Internet Explorer 5 or later).,Windows 95 or later (with Internet Explorer 5 or later),SyncMgr,,Mobsync.h,,,,,,enumeration
SYNCMGRHANDLERFLAGS,Windows 2000 or later (or Windows NT 4.0 with Internet Explorer 5 or later).,Windows 95 or later (with Internet Explorer 5 or later),SyncMgr,,Mobsync.h,,,,,,enumeration
SYNCMGRINVOKEFLAGS,Windows 2000 or later (or Windows NT 4.0 with Internet Explorer 5 or later).,Windows 95 or later (with Internet Explorer 5 or later),SyncMgr,,Mobsync.h,,,,,,enumeration
SYNCMGRITEMFLAGS,Windows 2000 or later (or Windows NT 4.0 with Internet Explorer 5 or later).,Windows 95 or later (with Internet Explorer 5 or later),SyncMgr,,Mobsync.h,,,,,,enumeration
SYNCMGRLOGLEVEL,Windows 2000 or later (or Windows NT 4.0 with Internet Explorer 5 or later).,Windows 95 or later (with Internet Explorer 5 or later),SyncMgr,,Mobsync.h,,,,,,enumeration
SYNCMGRSTATUS,Windows 2000 or later (or Windows NT 4.0 with Internet Explorer 5 or later).,Windows 95 or later (with Internet Explorer 5 or later),SyncMgr,,Mobsync.h,,,,,,enumeration
ISyncMgrEnumItems,Windows 2000 or later (or Windows NT 4.0 with Internet Explorer 5 or later).,Windows 95 or later (with Internet Explorer 5 or later),SyncMgr,,Mobsync.h,,,,,,interface
ISyncMgrRegister,Windows 2000 or later (or Windows NT 4.0 with Internet Explorer 5 or later).,Windows 95 or later (with Internet Explorer 5 or later),SyncMgr,,Mobsync.h,,,,,,interface
ISyncMgrSynchronize,Windows 2000 or later (or Windows NT 4.0 with Internet Explorer 5 or later).,Windows 95 or later (with Internet Explorer 5 or later),SyncMgr,,Mobsync.h,,,,,,interface
ISyncMgrSynchronizeCallback,Windows 2000 or later (or Windows NT 4.0 with Internet Explorer 5 or later).,Windows 95 or later (with Internet Explorer 5 or later),SyncMgr,,Mobsync.h,,,,,,interface
